ID,DataID,primer,barcode,continent,type,tot.n.seqs,tot.mean.seqs,tot.median.seqs,Species,overlapped,prop.n.seqs,prop.mean.seqs,prop.median.seqs,type2
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Cottus poecilopus,FALSE,0.0031050835906028,0.0016377741677608,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Atherina boyeri,FALSE,0.00259392533032588,0.00552464228934817,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Neogobius melanostomus,TRUE,0.00220122596846235,0.00148979388538371,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Anguilla anguilla,TRUE,0.00300041785159372,0.0046096427679963,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Salmo salar,TRUE,0.00158702469381215,0.00097636894626032,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Leucaspius delineatus,TRUE,0.00233347802628003,0.00153493573615019,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Oncorhynchus mykiss,TRUE,0.00321542886583718,0.00694716386384347,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Acipenser gueldenstaedtii,FALSE,0.000326979014113648,0.000432507383748884,0,Unique to reanalyzed
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Esox lucius,TRUE,0.000543612752992913,0.000233956988440182,0,Overlapped
D052_RS010,D052,MiFish,12S,Europe,basin,1232495,13396.6847826087,10003,Scardinius erythrophthalmus,TRUE,0.00102880741909703,0.000540862537665875,0,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Cyprinus carpio,TRUE,0.377558817951607,0.407573914659093,0.352259010212873,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Carassius cuvieri,FALSE,0.227794759094611,0.202921953977154,0.168417244207607,Unique to reanalyzed
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Tridentiger brevispinis,FALSE,0.105802590332549,0.0940757384572254,0.0580758728128243,Unique to reanalyzed
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Carassius auratus,TRUE,0.076901194765788,0.0684148890772764,0.0444052175262066,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Zacco platypus,TRUE,0.0876356801017392,0.0758821358016797,0.044179710112287,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Misgurnus anguillicaudatus,TRUE,0.0367437891143562,0.0597230679145369,0.0145577090672558,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Gymnogobius urotaenia,TRUE,0.0323317455182338,0.0379976705837105,0.0251809399017844,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Channa argus,TRUE,0.0162342008679064,0.0150199231086173,0.0147934623916791,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Anguilla japonica,TRUE,0.0109910643567118,0.0134033329308364,0.00950941366824202,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Hypophthalmichthys nobilis,FALSE,0.0100763043696523,0.00781438830103518,0,Unique to reanalyzed
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Hemibarbus labeo,TRUE,0.00945159023214824,0.00889352308067417,0.0078104341952978,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Opsariichthys uncirostris,TRUE,0.00419172030655615,0.00325352474538902,0.000164686507469709,Overlapped
D053_RS011,D053,MiFish,12S,Asia,basin,358564,35856.4,38248,Gambusia affinis,TRUE,0.00296460325074464,0.00340046006446532,0.00109444581825,Overlapped
